method,seed,coverage,risk
naive_online,0,0.3718268830628381,0.07554560716284275
naive_online,0,0.3768206408655847,0.07620099392600774
naive_online,0,0.38202247191011235,0.07734204793028322
naive_online,0,0.38701622971285893,0.07849462365591398
naive_online,0,0.3920099875156055,0.07749469214437367
naive_online,0,0.3970037453183521,0.07756813417190776
naive_online,0,0.4019975031210986,0.07763975155279502
naive_online,0,0.4069912609238452,0.07719836400817996
naive_online,0,0.41198501872659177,0.07828282828282829
naive_online,0,0.4171868497711194,0.07830423940149626
naive_online,0,0.422180607573866,0.07836372597338591
naive_online,0,0.4271743653766126,0.07890891378470531
naive_online,0,0.43216812317935915,0.08040442946557536
naive_online,0,0.4371618809821057,0.08043788672060924
naive_online,0,0.44215563878485226,0.08
naive_online,0,0.44714939658759884,0.08003722661703118
naive_online,0,0.4523512276321265,0.07957681692732291
naive_online,0,0.45734498543487306,0.07961783439490445
naive_online,0,0.46233874323761964,0.08010801080108011
naive_online,0,0.4673325010403662,0.08014247551202137
naive_online,0,0.4723262588431128,0.0801762114537445
naive_online,0,0.4773200166458593,0.08151700087183958
naive_online,0,0.4823137744486059,0.0811044003451251
naive_online,0,0.4875156054931336,0.08109261630388391
naive_online,0,0.49250936329588013,0.0819602872834812
naive_online,0,0.4975031210986267,0.08322877457130907
naive_online,0,0.5024968789013733,0.08281573498964803
naive_online,0,0.5074906367041199,0.08282082820828209
naive_online,0,0.5124843945068664,0.0828258221680877
naive_online,0,0.5176862255513941,0.08440514469453377
naive_online,0,0.5226799833541407,0.08439490445859872
naive_online,0,0.5276737411568873,0.08477917981072555
naive_online,0,0.5326674989596338,0.08515625
naive_online,0,0.5376612567623804,0.08552631578947369
naive_online,0,0.5426550145651269,0.08627300613496933
naive_online,0,0.5476487723678735,0.08662613981762918
naive_online,0,0.5528506034124012,0.08694015807301468
naive_online,0,0.5578443612151477,0.08690787019768743
naive_online,0,0.5628381190178943,0.08724584103512015
naive_online,0,0.5678318768206408,0.08794430194210333
naive_online,0,0.5728256346233874,0.08899382491827097
naive_online,0,0.577819392426134,0.08858480374504861
naive_online,0,0.5828131502288806,0.08961085326669047
naive_online,0,0.5880149812734082,0.09058740268931352
naive_online,0,0.5930087390761548,0.09157894736842105
naive_online,0,0.5980024968789014,0.09359777313848296
naive_online,0,0.602996254681648,0.09385783298826778
naive_online,0,0.6079900124843945,0.09342915811088295
naive_online,0,0.6129837702871411,0.09504412763068568
naive_online,0,0.6179775280898876,0.09494949494949495
naive_online,0,0.6231793591344154,0.09515859766277128
naive_online,0,0.6281731169371619,0.09539582643259358
naive_online,0,0.6331668747399084,0.09562931317778509
naive_online,0,0.638160632542655,0.09553309422888817
naive_online,0,0.6431543903454016,0.09737948883856357
naive_online,0,0.6481481481481481,0.0985553772070626
naive_online,0,0.6531419059508947,0.09875756610385474
naive_online,0,0.6583437369954224,0.09987357774968394
naive_online,0,0.663337494798169,0.1006900878293601
naive_online,0,0.6683312526009155,0.10242839352428394
naive_online,0,0.6733250104036621,0.10259579728059333
naive_online,0,0.6783187682064087,0.10276073619631902
naive_online,0,0.6833125260091553,0.10292326431181487
naive_online,0,0.6883062838119018,0.10278113663845223
naive_online,0,0.6935081148564295,0.1041104110411041
naive_online,0,0.6985018726591761,0.10485552576705391
naive_online,0,0.7034956304619226,0.10499852114758947
naive_online,0,0.7084893882646691,0.10572687224669604
naive_online,0,0.7134831460674157,0.10586176727909011
naive_online,0,0.7184769038701623,0.10599478714161599
naive_online,0,0.7234706616729089,0.10670117917745182
naive_online,0,0.7286724927174365,0.10793832095945174
naive_online,0,0.7336662505201831,0.1074872376630743
naive_online,0,0.7386600083229297,0.1076056338028169
naive_online,0,0.7436537661256762,0.10828203693340795
naive_online,0,0.7486475239284228,0.10839355197331851
naive_online,0,0.7536412817311694,0.10850358917725014
naive_online,0,0.758843112775697,0.10885659446120098
naive_online,0,0.7638368705784436,0.10950694633614819
naive_online,0,0.7688306283811902,0.10987821380243572
naive_online,0,0.7738243861839368,0.1099757999462221
naive_online,0,0.7788181439866834,0.11114079615281859
naive_online,0,0.7838119017894298,0.1112290947703743
naive_online,0,0.7888056595921764,0.11237140596148773
naive_online,0,0.7940074906367042,0.11294549266247379
naive_online,0,0.7990012484394506,0.11432291666666666
naive_online,0,0.8039950062421972,0.11438923395445134
naive_online,0,0.8089887640449438,0.11496913580246913
naive_online,0,0.8139825218476904,0.11605316973415133
naive_online,0,0.818976279650437,0.11610772357723577
naive_online,0,0.8239700374531835,0.11691919191919192
naive_online,0,0.8291718684977112,0.11844416562107905
naive_online,0,0.8341656263004578,0.11898228984784236
naive_online,0,0.8391593841032043,0.12050582692784528
naive_online,0,0.8441531419059509,0.12028592556075918
naive_online,0,0.8491468997086975,0.12006861063464837
naive_online,0,0.8541406575114441,0.12082825822168088
naive_online,0,0.8591344153141905,0.12206345362073141
naive_online,0,0.8643362463587183,0.1234954260953298
naive_online,0,0.8693300041614649,0.12446146481570129
naive_online,0,0.8743237619642114,0.12517848643503093
naive_online,0,0.8793175197669579,0.12683388547089447
naive_online,0,0.8843112775697045,0.12917647058823528
naive_online,0,0.8893050353724511,0.13055685540477305
naive_online,0,0.8942987931751977,0.13192182410423453
naive_online,0,0.8995006242197253,0.13370344668054593
naive_online,0,0.9044943820224719,0.1350356567747872
naive_online,0,0.9094881398252185,0.13726835964310227
naive_online,0,0.9144818976279651,0.1392491467576792
naive_online,0,0.9194756554307116,0.14030323602625028
naive_online,0,0.9244694132334582,0.14269637632230475
naive_online,0,0.9294631710362048,0.1448399373181106
naive_online,0,0.9346650020807324,0.14715048975957257
naive_online,0,0.939658759883479,0.14902568644818423
naive_online,0,0.9446525176862256,0.15088105726872247
naive_online,0,0.9496462754889721,0.15403155127081508
naive_online,0,0.9546400332917186,0.1554054054054054
naive_online,0,0.9596337910944652,0.1582827406764961
naive_online,0,0.9646275488972118,0.16048317515099222
naive_online,0,0.9698293799417395,0.16348423085174854
naive_online,0,0.974823137744486,0.1664887940234792
naive_online,0,0.9798168955472326,0.1690380123168401
naive_online,0,0.9848106533499792,0.1721952250158462
naive_online,0,0.9898044111527258,0.1744797141055287
naive_online,0,0.9947981689554724,0.17695042878058984
naive_online,0,1.0,0.1795672076570953
offline_ahc,0,0.00020807324178110696,1.0
offline_ahc,0,0.005201831044527674,0.8
offline_ahc,0,0.01019558884727424,0.40816326530612246
offline_ahc,0,0.015189346650020807,0.5068493150684932
offline_ahc,0,0.020183104452767373,0.44329896907216493
offline_ahc,0,0.02517686225551394,0.4462809917355372
offline_ahc,0,0.030170620058260506,0.4689655172413793
offline_ahc,0,0.03537245110278818,0.4823529411764706
offline_ahc,0,0.040366208905534745,0.5463917525773195
offline_ahc,0,0.04535996670828132,0.5596330275229358
