recording,method,latency_budget_ms,ablation,seed,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size
test_001_1005,online,500.0,no_momentum,1,0.3943444730077121,0.0363324764353042,0.0260497000856898,0.3319622964867181,0.4023484343770819,0.3615653132463715,0.2811111111111111,0.0335904027420736,2.0,3.0,1.0,500.0,500.0,500.0,500.0,231.0,0.6869158878504673,60.0,0.0347579358042206,0.041159799991874,0.046294100000523,0.1019171999942045,0.0016986199999034,2.9177489177489178
test_001_1006,online,500.0,no_momentum,1,0.6014354066985645,0.1097288676236044,0.0267942583732057,0.4649122807017544,1.1870055278546523,0.5877335499593827,0.5490240581025874,0.1076555023923445,5.0,6.0,1.0,500.0,500.0,500.0,500.0,230.0,0.4300518134715025,60.0,0.1199285075960679,0.043456800020067,0.0435060000163503,0.0970909000316169,0.0016181816671936,2.891304347826087
test_001_1007,online,500.0,no_momentum,1,0.3697347893915756,0.0598023920956838,0.0261743803085456,0.2837580169873461,0.6361041361292724,0.3485348340772365,0.2830449826989619,0.0533888022187554,5.0,6.0,1.0,500.0,500.0,500.0,500.0,223.0,0.693069306930693,60.0,0.0563999267533418,0.0420640000083949,0.028369699983159,0.084637299994938,0.0014106216665823,2.878923766816144
test_001_1008,online,500.0,no_momentum,1,0.3720469188831984,0.0847513629605154,0.0264331736329093,0.2608623822897736,0.5674654470312586,0.3202678747291708,0.2670530539456086,0.0806211795803733,5.0,11.0,6.0,500.0,500.0,500.0,500.0,228.0,0.7114427860696517,60.0,0.0876909254267744,0.0427764999913051,0.0334068000083789,0.0878129999910015,0.00146354999985,2.837719298245614
test_001_1009,online,500.0,no_momentum,1,0.5721950449739625,0.0875808742307085,0.0146757140602808,0.469938456682973,1.0321672077055324,0.5231914487497614,0.5315729047072331,0.0866340539687549,3.0,2.0,-1.0,500.0,500.0,500.0,500.0,235.0,0.5073891625615764,60.0,0.094851416724257,0.0435480000160168,0.0448904999939259,0.1026544999913312,0.0017109083331888,2.9574468085106385
test_001_1010,online,500.0,no_momentum,1,0.4417036671600066,0.0935701364907087,0.0226936359151455,0.3254398947541523,0.8621987951363229,0.3934328358208955,0.3228200371057514,0.0868278243709916,5.0,3.0,-2.0,500.0,500.0,500.0,500.0,226.0,0.6476683937823834,60.0,0.095083738519719,0.0401426000171341,0.0430097999924328,0.097687900008168,0.0016281316668028,2.871681415929204
test_001_1011,online,500.0,no_momentum,1,0.2707646671061305,0.0980553724456163,0.025049439683586,0.1476598549769281,0.3145294688581324,0.2141133896260555,0.2073008849557522,0.0901450230718523,2.0,3.0,1.0,500.0,500.0,500.0,500.0,225.0,0.8247422680412371,60.0,0.0990762543017569,0.0403286000073421,0.0447033999953419,0.099328999989666,0.0016554833331611,2.88
test_001_1012,online,500.0,no_momentum,1,0.5411746181703668,0.1143127066603684,0.0236183278223901,0.4032435836876082,0.9294980163446068,0.4839763216983058,0.4270807453416149,0.1143127066603684,5.0,9.0,4.0,500.0,500.0,500.0,500.0,231.0,0.5425531914893617,60.0,0.1290666666666666,0.0722782999800983,0.0452465999987907,0.1334246999758761,0.0022237449995979,2.9047619047619047
test_001_1013,online,500.0,no_momentum,1,0.14028128380815,0.0358817165524702,0.0320952037504507,0.072304363505229,0.219443198902751,0.1210106382978723,0.0700354609929078,0.0254237288135593,2.0,2.0,0.0,500.0,500.0,500.0,500.0,221.0,0.9245283018867924,60.0,0.0260869565217391,0.0399273000075481,0.045191999990493,0.0995205999934114,0.0016586766665568,2.8642533936651584
test_001_1014,online,500.0,no_momentum,1,0.4485821660403143,0.0702084045097369,0.0310898530919029,0.3472839084386744,0.4271750062749234,0.3928432516530533,0.3582781456953642,0.0608131192347113,2.0,4.0,2.0,500.0,500.0,500.0,500.0,225.0,0.6473429951690821,60.0,0.064750818479447,0.0436093999887816,0.0408810999942943,0.103425099980086,0.0017237516663347,2.848888888888889
